,Вакансия,link,salary_min,salary_max,salary_cur,web-site,keyword
59,Web-разработчик fullstack (python+javascript),https://www.hh.ruhttps://hh.ru/vacancy/37547981?query=Python,50000.0,80000.0,руб.,www.hh.ru,Python
60,Python developer,https://www.hh.ruhttps://hh.ru/vacancy/37293817?query=Python,,,,www.hh.ru,Python
61,Разработчик Python,https://www.hh.ruhttps://hh.ru/vacancy/36711877?query=Python,,,,www.hh.ru,Python
62,Junior Linux DevOps Engineer/intern,https://www.hh.ruhttps://hh.ru/vacancy/37274639?query=Python,,,,www.hh.ru,Python
63,Data Analyst\Аналитик данных,https://www.hh.ruhttps://hh.ru/vacancy/37571938?query=Python,,,,www.hh.ru,Python
64,Backend-разработчик,https://www.hh.ruhttps://hh.ru/vacancy/35629745?query=Python,90000.0,,руб.,www.hh.ru,Python
65,DevOps Engineer,https://www.hh.ruhttps://hh.ru/vacancy/37157884?query=Python,150000.0,250000.0,руб.,www.hh.ru,Python
66,Программист-алгоритмист по обработке изображений и компьютерному зрению,https://www.hh.ruhttps://hh.ru/vacancy/37083764?query=Python,160000.0,,руб.,www.hh.ru,Python
67,Аналитик,https://www.hh.ruhttps://hh.ru/vacancy/37514419?query=Python,130000.0,160000.0,руб.,www.hh.ru,Python
68,Разработчик Python,https://www.hh.ruhttps://hh.ru/vacancy/37415007?query=Python,150000.0,200000.0,руб.,www.hh.ru,Python
69,Программист Python,https://www.hh.ruhttps://hh.ru/vacancy/37413096?query=Python,,,,www.hh.ru,Python
70,Программист С++,https://www.hh.ruhttps://hh.ru/vacancy/37442366?query=Python,170000.0,,руб.,www.hh.ru,Python
71,Senior FullStack (Django/React) Developer (удаленно),https://www.hh.ruhttps://hh.ru/vacancy/37295399?query=Python,180000.0,,руб.,www.hh.ru,Python
72,Разработчик Python (middle/senior),https://www.hh.ruhttps://hh.ru/vacancy/37677528?query=Python,,,,www.hh.ru,Python
73,GUI-программист (PyQt),https://www.hh.ruhttps://hh.ru/vacancy/37674480?query=Python,140000.0,180000.0,руб.,www.hh.ru,Python
74,Backend-разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37683653?query=Python,60000.0,60000.0,руб.,www.hh.ru,Python
75,Разработчик / Инженер-программист (Python),https://www.hh.ruhttps://hh.ru/vacancy/36886946?query=Python,,230000.0,руб.,www.hh.ru,Python
76,"DevOps инженер (GNU/Linux, Mikrotik)",https://www.hh.ruhttps://hh.ru/vacancy/37355374?query=Python,100000.0,130000.0,руб.,www.hh.ru,Python
77,Full-Stack Web-Developer (Python / Odoo),https://www.hh.ruhttps://hh.ru/vacancy/34649894?query=Python,100000.0,200000.0,руб.,www.hh.ru,Python
78,Golang Developer,https://www.hh.ruhttps://hh.ru/vacancy/37604908?query=Python,80000.0,220000.0,руб.,www.hh.ru,Python
79,Middle python разработчик (удаленная работа),https://www.hh.ruhttps://hh.ru/vacancy/37707623?query=Python,,100000.0,руб.,www.hh.ru,Python
80,Аналитик Исследования,https://www.hh.ruhttps://hh.ru/vacancy/37583849?query=Python,120000.0,,руб.,www.hh.ru,Python
81,"Разработчик Delphi, SQL",https://www.hh.ruhttps://hh.ru/vacancy/37294484?query=Python,110000.0,120000.0,руб.,www.hh.ru,Python
82,Python-разработчик (full stack),https://www.hh.ruhttps://hh.ru/vacancy/37557027?query=Python,,,,www.hh.ru,Python
83,Программист по созданию и ведению обучающего курса по Python,https://www.hh.ruhttps://hh.ru/vacancy/36906276?query=Python,150000.0,,руб.,www.hh.ru,Python
84,DevOps - разработчик ПО,https://www.hh.ruhttps://hh.ru/vacancy/35275243?query=Python,200000.0,,руб.,www.hh.ru,Python
85,QA automation engineer (python) / специалист по автоматизированному тестированию,https://www.hh.ruhttps://hh.ru/vacancy/37672615?query=Python,,,,www.hh.ru,Python
86,GUI-программист (JavaScript / TypeScript),https://www.hh.ruhttps://hh.ru/vacancy/37674334?query=Python,140000.0,180000.0,руб.,www.hh.ru,Python
87,Middle Frontend-разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37584440?query=Python,150000.0,170000.0,руб.,www.hh.ru,Python
88,Тестировщик программного обеспечения,https://www.hh.ruhttps://hh.ru/vacancy/37593278?query=Python,,,,www.hh.ru,Python
89,QA Engineer / Специалист по тестированию (iOS),https://www.hh.ruhttps://hh.ru/vacancy/37447347?query=Python,,,,www.hh.ru,Python
90,"FullStack Developer (Python, JS)",https://www.hh.ruhttps://hh.ru/vacancy/37580818?query=Python,,,,www.hh.ru,Python
91,Разработчик Python/Team Lead,https://www.hh.ruhttps://hh.ru/vacancy/37608815?query=Python,,,,www.hh.ru,Python
92,Тестировщик ПО,https://www.hh.ruhttps://hh.ru/vacancy/35682116?query=Python,115.0,,руб.,www.hh.ru,Python
93,Программист C/С++,https://www.hh.ruhttps://hh.ru/vacancy/37591250?query=Python,70000.0,85000.0,руб.,www.hh.ru,Python
94,Разработчик Python,https://www.hh.ruhttps://hh.ru/vacancy/35871016?query=Python,,,,www.hh.ru,Python
95,Python developer,https://www.hh.ruhttps://hh.ru/vacancy/36297018?query=Python,,,,www.hh.ru,Python
96,Full stack разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37586676?query=Python,,,,www.hh.ru,Python
97,Программист Verilog / C / Python (проект FPGA HSM),https://www.hh.ruhttps://hh.ru/vacancy/37465084?query=Python,,,,www.hh.ru,Python
98,Стажер в IT компанию,https://www.hh.ruhttps://hh.ru/vacancy/37700471?query=Python,30000.0,,руб.,www.hh.ru,Python
99,Russian speaking Node.JS developer,https://www.hh.ruhttps://hh.ru/vacancy/37624696?query=Python,2500.0,2500.0, USD,www.hh.ru,Python
100,CI Engineer,https://www.hh.ruhttps://hh.ru/vacancy/27812469?query=Python,4000.0,, USD,www.hh.ru,Python
101,Математик-программист/Инженер по компьютерному зрению и обработке изображений,https://www.hh.ruhttps://hh.ru/vacancy/37284012?query=Python,,,,www.hh.ru,Python
102,Программист С++,https://www.hh.ruhttps://hh.ru/vacancy/37406281?query=Python,120000.0,,руб.,www.hh.ru,Python
103,Инженер тестирования,https://www.hh.ruhttps://hh.ru/vacancy/37515057?query=Python,50000.0,90000.0,руб.,www.hh.ru,Python
104,DevOps Engineer,https://www.hh.ruhttps://hh.ru/vacancy/37438091?query=Python,,180000.0,руб.,www.hh.ru,Python
105,Senior React developer в западный AI проект (Remote),https://www.hh.ruhttps://hh.ru/vacancy/37484812?query=Python,3500.0,4500.0, USD,www.hh.ru,Python
106,Data scientist (fraud prevention),https://www.hh.ruhttps://hh.ru/vacancy/37473937?query=Python,,,,www.hh.ru,Python
107,Ведущий специалист технической поддержки,https://www.hh.ruhttps://hh.ru/vacancy/37553256?query=Python,,,,www.hh.ru,Python
108,QA Automation Engineer,https://www.hh.ruhttps://hh.ru/vacancy/37582155?query=Python,,,,www.hh.ru,Python
109,Java developer,https://www.hh.ruhttps://hh.ru/vacancy/37334712?query=Python,180000.0,260000.0,руб.,www.hh.ru,Python
110,Аналитик (mobile),https://www.hh.ruhttps://hh.ru/vacancy/37164966?query=Python,,,,www.hh.ru,Python
111,Senior QA Engineer (Web),https://www.hh.ruhttps://hh.ru/vacancy/36493499?query=Python,100000.0,300000.0,руб.,www.hh.ru,Python
112,PHP-разработчик,https://www.hh.ruhttps://hh.ru/vacancy/32333890?query=Python,130000.0,150000.0,руб.,www.hh.ru,Python
113,"GFN Software Engineer - Gaming (Python, C++)",https://www.hh.ruhttps://hh.ru/vacancy/36922412?query=Python,,,,www.hh.ru,Python
114,Senior Python developer (RiskEngine),https://www.hh.ruhttps://hh.ru/vacancy/37372568?query=Python,220000.0,,руб.,www.hh.ru,Python
115,Инженер по внедрению и сопровождению,https://www.hh.ruhttps://hh.ru/vacancy/37413977?query=Python,130000.0,,руб.,www.hh.ru,Python
116,Ведущий инженер-программист (telecom),https://www.hh.ruhttps://hh.ru/vacancy/37572220?query=Python,180000.0,,руб.,www.hh.ru,Python
117,"Senior DevOps Engineer (Belgrade, Serbia)",https://www.hh.ruhttps://hh.ru/vacancy/37400339?query=Python,5000.0,7000.0, USD,www.hh.ru,Python
118,Team Leader/ Руководитель отдела,https://www.hh.ruhttps://hh.ru/vacancy/37378088?query=Python,200000.0,,руб.,www.hh.ru,Python
119,Системный администратор,https://www.hh.ruhttps://hh.ru/vacancy/37508415?query=Python,60000.0,70000.0,руб.,www.hh.ru,Python
120,Тестировщик (QA engineer),https://www.hh.ruhttps://hh.ru/vacancy/37325414?query=Python,140000.0,,руб.,www.hh.ru,Python
121,С++ разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37702583?query=Python,120000.0,150000.0,руб.,www.hh.ru,Python
122,Senior iOS Developer,https://www.hh.ruhttps://hh.ru/vacancy/37279000?query=Python,250000.0,300000.0,руб.,www.hh.ru,Python
123,Системный администратор Linux,https://www.hh.ruhttps://hh.ru/vacancy/37059803?query=Python,140000.0,170000.0,руб.,www.hh.ru,Python
124,Системный администратор Linux / DevOps,https://www.hh.ruhttps://hh.ru/vacancy/37280015?query=Python,100000.0,300000.0,руб.,www.hh.ru,Python
125,Инженер службы поддержки,https://www.hh.ruhttps://hh.ru/vacancy/37404098?query=Python,1500.0,2500.0, USD,www.hh.ru,Python
126,Специалист по тестированию ПО,https://www.hh.ruhttps://hh.ru/vacancy/37722346?query=Python,,,,www.hh.ru,Python
127,Ведущий системный администратор Linux,https://www.hh.ruhttps://hh.ru/vacancy/37425103?query=Python,180000.0,,руб.,www.hh.ru,Python
128,Старший научный сотрудник (статистическая физика и биоинформатика),https://www.hh.ruhttps://hh.ru/vacancy/37402527?query=Python,180000.0,200000.0,руб.,www.hh.ru,Python
129,Руководитель отдела разработки,https://www.hh.ruhttps://hh.ru/vacancy/37617592?query=Python,,,,www.hh.ru,Python
130,Fullstack разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37425983?query=Python,,150000.0,руб.,www.hh.ru,Python
131,Системный инженер Linux / Инженер DevOps,https://www.hh.ruhttps://hh.ru/vacancy/37446994?query=Python,100000.0,150000.0,руб.,www.hh.ru,Python
132,Специалист по тестированию/QA Engineer,https://www.hh.ruhttps://hh.ru/vacancy/37464205?query=Python,130000.0,160000.0,руб.,www.hh.ru,Python
133,Бизнес-аналитик (web and mobile),https://www.hh.ruhttps://hh.ru/vacancy/37331855?query=Python,160000.0,,руб.,www.hh.ru,Python
134,Системный администратор Linux / DevOps,https://www.hh.ruhttps://hh.ru/vacancy/37491068?query=Python,120000.0,150000.0,руб.,www.hh.ru,Python
135,Аналитик,https://www.hh.ruhttps://hh.ru/vacancy/36202551?query=Python,,,,www.hh.ru,Python
136,Младший сетевой инженер,https://www.hh.ruhttps://hh.ru/vacancy/37372280?query=Python,90000.0,,руб.,www.hh.ru,Python
137,Data Scientist (Limassol),https://www.hh.ruhttps://hh.ru/vacancy/37362533?query=Python,,,,www.hh.ru,Python
138,Специалист в области компьютерного зрения,https://www.hh.ruhttps://hh.ru/vacancy/37409987?query=Python,,,,www.hh.ru,Python
139,Разработчик бизнес-решений (NET C#),https://www.hh.ruhttps://hh.ru/vacancy/37660403?query=Python,,,,www.hh.ru,Python
140,Developer,https://www.hh.ruhttps://hh.ru/vacancy/37422161?query=Python,250000.0,,руб.,www.hh.ru,Python
141,DevOps engineer,https://www.hh.ruhttps://hh.ru/vacancy/35219728?query=Python,120000.0,170000.0,руб.,www.hh.ru,Python
142,Web-программист (удаленно),https://www.hh.ruhttps://hh.ru/vacancy/37392285?query=Python,30000.0,,руб.,www.hh.ru,Python
143,DevOps/SRE,https://www.hh.ruhttps://hh.ru/vacancy/37689025?query=Python,,,,www.hh.ru,Python
144,"C/C++ developer (runtime, toolchain)",https://www.hh.ruhttps://hh.ru/vacancy/37507961?query=Python,,,,www.hh.ru,Python
145,"Full-Stack Developer (Python, Django / Node.JS, Angular 2+)",https://www.hh.ruhttps://hh.ru/vacancy/37350169?query=Python,,,,www.hh.ru,Python
146,Маркетинговый аналитик (GameDev),https://www.hh.ruhttps://hh.ru/vacancy/37482240?query=Python,,,,www.hh.ru,Python
147,Младший системный администратор,https://www.hh.ruhttps://hh.ru/vacancy/37644965?query=Python,,,,www.hh.ru,Python
148,Ведущий разработчик ПО в области облачных технологий,https://www.hh.ruhttps://hh.ru/vacancy/37111259?query=Python,250000.0,,руб.,www.hh.ru,Python
149,HR Generalist / HR менеджер,https://www.hh.ruhttps://hh.ru/vacancy/37568918?query=Python,,100000.0,руб.,www.hh.ru,Python
150,Младший инженер по внедрению и техподдержке телекоммуникационного биллинга (Зеленоград),https://www.hh.ruhttps://hh.ru/vacancy/36520361?query=Python,60000.0,,руб.,www.hh.ru,Python
151,Инженер технической поддержки (управление уязвимостями),https://www.hh.ruhttps://hh.ru/vacancy/37522778?query=Python,,,,www.hh.ru,Python
152,Инженер по тестированию,https://www.hh.ruhttps://hh.ru/vacancy/37640904?query=Python,,,,www.hh.ru,Python
153,Web аналитик,https://www.hh.ruhttps://hh.ru/vacancy/37445508?query=Python,,,,www.hh.ru,Python
154,Senior/Regular QA Manual Engineer,https://www.hh.ruhttps://hh.ru/vacancy/37404094?query=Python,1500.0,2500.0, USD,www.hh.ru,Python
155,Technical Support Engineer (Nx Meta),https://www.hh.ruhttps://hh.ru/vacancy/35594122?query=Python,3000.0,, USD,www.hh.ru,Python
